drinkId	drinkName	complete	categories	glass type	image	sweet	citrusy	bitter	herbal	minty	fruity	sour	boosy	spicy	salty	creamy
1	After Five	1	Shaken, Shot	Shot	shot_brown	4	0	0	2	4	0	0	2	0	0	1
2	Alabama Slammer	1	Shaken, Shot	Shot	highball_yellow	4	4	0	0	0	4	3	3	0	0	0
3	Anejo Highball	1	On the Rocks, Highball	Highball	highball_gold	0	0	0	0	0	0	0	4	3	0	0
4	Apple Martini (Appletini)	1	Shaken, Martini, Popular	Martini	martini_green	3	3	0	0	0	3	3	3	0	0	0
5	B-52	1	Shooter	Shot	b52	0	0	1	0	0	0	0	4	0	0	5
6	Bacardi Cocktail	1	Shaken	Martini	martini_red	4	1	2	0	0	0	3	4	0	2	0
7	Bahama Mama	1	Shaken	Collins	highball_orange	4	3	2	0	0	3	2	2	0	0	0
8	Between the Sheets	1	Shaken	Martini	martini_yellow	1	1	0	0	0	0	4	4	0	0	0
9	Black Russian	1	On the Rocks	Rocks	rocks_brown	2	0	0	0	0	0	0	3	0	0	3
10	Bloody Mary	1	On the Rocks, Popular, Highball	Highball	highball_red	0	0	1	0	0	0	0	4	4	3	0
11	Blow Job	1	Up	Shot	blowjob	5	0	0	0	0	0	0	3	0	0	3
12	Boilermaker	1	Shooter	Tall	boilermaker	0	0	2	0	0	0	0	4	0	0	0
13	Cafe Amore	1	Hot	Mug	mug_black	3	0	2	0	0	0	0	2	0	0	2
14	Cafe Caribbean	1	Hot	Mug	mug_black	2	0	1	0	0	0	0	3	0	0	2
15	Caipirinha	1	On the Rocks, Highball	Highball	highball_clear	3	4	1	0	0	3	3	4	0	0	0
16	Cape Cod	1	On the Rocks	Collins	collins_red	2	2	0	0	0	3	1	3	0	0	0
17	Chocolate Martini	1	Shaken, Martini	Martini	martini_chocolate	3	0	1	0	0	0	0	2	0	2	3
18	Clover Club Cocktail	1	Shaken	Martini	martini_red	2	1	0	2	0	2	2	2	0	0	2
19	Smith & Wesson (Colorado Bulldog)	1	On the Rocks, Classic	Collins	--	4	0	0	0	0	0	0	3	0	0	3
20	Cosmopolitan	1	Shaken, Popular, Martini, Classic	Martini	martini_red	3	2	0	0	0	3	1	3	0	0	0
21	Strawberry Daiquiri	1	Frozen, Popular, Tropical	Cocktail	--	5	0	0	0	0	5	1	1	0	0	0
22	Fuzzy Navel	1	On the Rocks, Highball	Highball	--	5	1	0	0	0	4	0	3	0	0	0
23	Gin Gimlet	1	Shaken, Classic	Martini	martini_gold	2	1	3	3	0	0	2	3	0	0	0
24	Gin & Tonic	1	Highball, Popular	Highball	highball_clear	0	1	3	0	0	0	0	3	0	0	0
25	Godfather	1	On the Rocks, Classic	Rocks	--	2	0	0	2	0	1	0	3	0	0	0
26	Harvey Wallbanger	1	Shaken	Collins	--	3	3	0	2	0	2	0	3	0	0	0
27	Highball	1	On the Rocks, Highball	Highball	--	2	0	1	2	0	0	0	3	0	0	0
28	Hot Toddy	1	Hot, Classic	Mug	--	3	1	0	0	0	2	1	2	1	0	0
29	Hot Buttered Rum	1	Hot, Classic	Mug	mug_brown	4	0	1	0	0	0	1	0	0	1	1
30	Hot Peppermint Patty	1	Hot	Mug	mug_black	3	0	0	1	2	0	0	2	0	0	3
31	Hot Toddy	1	Hot	Mug	mug_brown	2	2	1	0	0	0	2	2	0	0	0
32	Hurricane	1	Shaken	Martini	martini_red	4	4	1	0	0	4	2	3	0	0	0
33	Indian Summer	1	On the Rocks, Highball	Highball	--	3	2	0	0	0	3	1	2	0	0	0
34	Irish Car Bomb	1	Shooter	Tall	--	1	0	3	3	0	0	0	3	0	0	0
35	Irish Coffee	1	Hot	Mug	mug_black	2	0	2	0	0	0	0	2	0	0	3
36	Jell-O Shot	1	Shot	Shot	--	3	0	0	0	0	2	0	2	0	0	0
37	Kamikaze	1	Shot	Shot	--	2	2	0	0	0	0	3	4	0	0	0
38	Lemon Drop	1	Shaken, Popular	Martini	martini_yellow	5	4	0	0	0	0	3	2	0	0	0
39	Liquid Cocaine	1	Shot	Shot	shot_brown	2	0	0	2	0	0	0	4	2	0	0
40	Long Island Iced Tea	1	Shaken, Popular	Collins	tall_gold	2	3	0	0	0	0	2	4	0	0	0
41	Lynchburg Lemonade	1	On the Rocks	Tall	tall_yellow	3	3	0	0	0	0	2	2	0	0	0
42	Mai Tai	1	Shaken	Rocks	rocks_orange_red	3	4	1	0	1	2	2	3	0	0	0
43	Manhattan	1	Shaken, Popular, Classic	Martini	martini_brown	1	0	4	0	0	0	0	4	0	0	0
44	Margarita	1	On the Rocks, Popular, Tropical	Tall	tall_yellow	4	3	1	0	0	0	3	3	0	3	0
45	Martinez	1	Shaken	Martini	--	1	2	4	2	0	0	0	4	0	0	0
46	Midori Sour	1	On the Rocks	Rocks	--	4	4	0	0	0	2	4	1	0	0	0
47	Mint Julep	1	Stirred	Rocks	--	3	0	3	0	4	0	1	2	0	0	0
48	Mojito	1	Shaken, Popular	Collins	--	3	3	0	5	5	2	1	2	0	0	0
49	Moscow Mule	1	Stirred	Mug	--	2	2	0	3	0	0	2	3	0	0	0
50	Mudslide	1	On the Rocks, Frozen	Rocks	--	3	0	0	0	0	0	0	2	0	0	3
51	Negroni	1	On the Rocks	Martini	martini_red	0	0	3	3	0	0	0	4	0	0	0
52	Old-Fashioned	1	On the Rocks	Rocks	rocks_gold	2	1	2	1	0	0	0	3	0	0	0
53	Orgasm	1	On the Rocks	Rocks	--	2	0	0	0	0	0	0	2	0	0	5
54	Pina Colada	1	Tropical, Popular, Frozen	Tall	--	5	4	0	1	0	5	2	2	0	0	0
55	Planters Punch	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
56	Purple Hooter	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
57	Redheaded Slut	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
58	Rob Roy	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
59	Rum Runner	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
60	Russian Quaalude	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
61	Rusty Nail	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
62	Sazerac	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
63	Screwdriver	1	Highball, Popular	Highball	--	2	5	0	0	0	0	2	3	0	0	0
64	Sex on the Beach	1	Highball	Highball	--	3	4	0	0	0	4	3	3	0	0	0
65	Sidecar	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
66	Ski Lift	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
67	Slippery Nipple	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
68	Sneaky Pete	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
69	Tequila Fuego	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
70	Tequila Sunrise	1	Stirred	Tall	--	3	4	1	0	0	0	3	3	0	0	0
71	Toasted Almond	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
72	Tom and Jerry	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
73	Tom Collins	1	Shaken	Tall	--	2	2	3	0	3	0	3	3	0	0	0
74	Warm Old-fashioned	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
75	White Russian	1	On the Rocks, Popular	Rocks	--	3	0	0	0	0	0	0	3	0	1	5
76	Zombie	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
77	Rum & Coke	1	On the Rocks, Popular, Highball	Highball	highball_brown	3	0	1	1	0	0	0	2	0	0	0
78	Cuba Libre	1	On the Rocks, Highball	Highball	highball_brown	3	2	1	1	0	0	0	2	0	0	0
79	Whiskey & Coke	1	On the Rocks, Popular, Highball	Highball	highball_brown	3	0	1	1	0	0	0	2	0	0	0
80	Adios Motherfucker (AMF)	1	Stirred, Popular	Tall	tall_blue	1	0	2	0	0	0	2	4	0	1	0
81	Amaretto Sour	1	On the Rocks, Highball	Highball	highball_yellow	3	3	0	0	0	0	2	2	0	0	0
82	Oatmeal Cookie	1	Shaken	Shot	--	4	0	1	2	0	0	0	3	0	0	3
